rho,rho_idx,sampling_mode,nps_intercept,topic_aware,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335,predicted_nps_variance
0.0,0,hard,10.22,False,LRTF,6,None,56,76.53972602739726,55.782831913612796,0.9707762557077625,0.8756345177664975,7.848309178743961,19.516908212560384,1182,1035,7.7695634196937995,0.8664850136239782,0.0018746290272390563
0.0,0,hard,10.22,False,LRTF,6,None,8,212.24931506849316,77.93456352654988,0.9894977168949772,0.6177260519247986,7.944927536231884,22.31884057971014,1117,690,12.363846844895896,0.6027131782945736,0.0020051615929245962
0.0,0,hard,10.22,False,LRTF,6,None,77,15.424657534246576,13.646296709063474,0.9575342465753425,0.9706666666666667,7.95970695970696,25.64102564102564,1125,1092,6.497110556606892,0.9676470588235294,0.001903698161516486
0.0,0,hard,10.22,False,LRTF,6,None,74,23.59178082191781,24.36059392694304,0.9762557077625572,0.9879206212251941,7.82882096069869,20.611353711790393,1159,1145,9.193576437938031,0.9869402985074627,0.0020288534711530998
0.0,0,hard,10.22,False,LRTF,6,None,51,91.74520547945205,70.23931211091313,0.9849315068493151,0.8551440329218107,7.801732435033686,18.094321462945135,1215,1039,10.807732852606254,0.8447971781305115,0.0017776119659059914
0.0,0,hard,10.22,False,LRTF,6,None,79,10.01095890410959,6.191224699195046,0.8684931506849315,0.993006993006993,7.935739436619718,23.063380281690137,1144,1136,4.822273216120143,0.992619926199262,0.0017446905924283949
0.0,0,hard,10.22,False,LRTF,6,None,55,85.11506849315069,60.18419925800153,0.9940639269406394,0.8361381753764393,7.834745762711864,18.43220338983051,1129,944,8.55573928927807,0.8248803827751197,0.0019984027411235356
0.0,0,hard,10.22,False,LRTF,6,None,52,100.96712328767123,61.98965002281869,0.9762557077625572,0.8182616330114135,7.813304721030043,17.59656652360515,1139,932,8.103846615137131,0.8054511278195489,0.0019567632383503454
0.0,0,hard,10.22,False,LRTF,6,None,84,8.389041095890411,4.306972413192561,0.8730593607305935,0.9927601809954751,7.824065633546034,18.869644484958982,1105,1097,4.512647237578268,0.9923002887391723,0.0018582107652738615
0.0,0,hard,10.22,False,LRTF,6,None,83,8.432876712328767,5.67915908718742,0.904566210045662,0.9916457811194653,7.766638584667228,17.270429654591407,1197,1187,4.137570555241101,0.9910714285714286,0.0019986929860465012
0.0,0,hard,10.22,False,LRTF,6,None,82,15.068493150684931,11.62963156483696,0.9557077625570777,0.9446883230904302,7.847583643122676,19.23791821561338,1139,1076,6.17580127932774,0.940566037735849,0.0017436590276073626
0.0,0,hard,10.22,False,LRTF,6,None,59,90.2958904109589,75.37209692431252,0.9958904109589041,0.8373493975903614,7.944501541623843,22.713257965056528,1162,973,12.348351497349588,0.8277467411545624,0.002125295689556693
