rho,rho_idx,sampling_mode,nps_intercept,discipline,n_agents,sla_hours,replication,target_f,amplitude,period_days,phase,avg_queue_length,peak_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,organisation_nps_first_half,organisation_nps_second_half,percent_detractors,percent_passives,percent_promoters,total_cases_arrived,total_cases_closed,arrivals_after_burnin,avg_case_resolution_time_days,percent_cases_closed_last_335,top_class_size,bulk_class_size
0.5,2,hard,10.22,FCFS,6,None,96,,0.25,14.0,0.0,151.57534246575344,297,22.773744440014244,0.9949771689497717,0.7590072057646117,7.790084388185654,17.616033755274263,21.381578947368425,12.13389121338912,0.2869198312236287,0.25,0.4630801687763713,1249,948,1148,46.993323796744725,0.7378048780487805,0,0
0.5,2,hard,10.22,LRTF,6,None,97,,0.25,14.0,0.0,62.50684931506849,123,51.356060767156286,0.9826484018264839,0.8982229402261712,7.911870503597123,21.76258992805755,21.42857142857143,20.750551876379692,0.2751798561151079,0.23201438848920863,0.49280575539568344,1238,1112,1153,10.374726963775247,0.8907198612315698,0,0
0.5,2,hard,10.22,SRTF,6,None,96,,0.25,14.0,0.0,131.2054794520548,263,71.89634350707529,0.9949771689497717,0.7854283426741393,7.827726809378185,18.960244648318042,20.5761316872428,18.703241895261847,0.28950050968399593,0.23139653414882771,0.47910295616717635,1249,981,1148,9.98790790885602,0.7726480836236934,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,94,0.2,0.25,14.0,0.0,97.28767123287672,200,60.52415891673633,0.9949771689497717,0.8418568056648308,7.991588785046729,24.859813084112155,20.938628158844764,31.99052132701422,0.27102803738317754,0.20934579439252338,0.5196261682242991,1271,1070,1176,9.668462551248213,0.8299319727891157,254,127
0.5,2,hard,10.22,NPS_BINNED,6,None,95,0.2,0.25,14.0,0.0,84.98630136986301,171,70.58917853907194,0.9926940639269407,0.8607003891050584,7.819168173598554,20.34358047016275,19.636363636363637,19.700214132762312,0.2884267631103074,0.2197106690777577,0.4918625678119349,1285,1106,1193,7.426280742847212,0.8524727577535625,257,129
0.5,2,hard,10.22,SRTF,6,None,98,,0.25,14.0,0.0,49.416438356164385,110,67.61547345135268,0.9954337899543378,0.9184481393507522,7.970689655172414,23.96551724137931,21.052631578947366,24.361493123772103,0.25862068965517243,0.24310344827586206,0.4982758620689655,1263,1160,1159,6.06597427016433,0.91458153580673,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,97,0.2,0.25,14.0,0.0,43.38082191780822,104,41.87538302471571,0.9826484018264839,0.9337641357027464,8.005190311418685,26.557093425605537,25.3781512605042,29.201680672268903,0.24740484429065743,0.23961937716262977,0.5129757785467128,1238,1156,1153,9.993161814455968,0.9288811795316565,248,124
0.5,2,hard,10.22,FCFS,6,None,98,,0.25,14.0,0.0,80.83561643835617,167,11.801951155601813,0.9913242009132421,0.8725257323832145,7.838475499092559,19.237749546279492,15.017064846416378,22.0873786407767,0.29310344827586204,0.22141560798548093,0.48548094373865697,1263,1102,1159,25.580009408353018,0.8610871440897325,0,0
0.5,2,hard,10.22,FCFS,6,None,99,,0.25,14.0,0.0,58.446575342465756,111,9.168586927735516,0.9913242009132419,0.9294503691550451,7.800529567519859,18.79964695498676,18.093699515347332,18.64406779661017,0.2886142983230362,0.23477493380406,0.4766107678729038,1219,1133,1118,19.580031823412153,0.9230769230769231,0,0
0.5,2,hard,10.22,NPS,6,None,89,,0.25,14.0,0.0,201.8876712328767,369,78.80191684439698,0.9931506849315068,0.6947626841243862,7.7538280329799765,15.547703180212014,14.446952595936791,13.761467889908257,0.29799764428739695,0.24852767962308597,0.4534746760895171,1222,849,1133,17.26818595176935,0.6796116504854369,0,0
0.5,2,hard,10.22,LRTF,6,None,96,,0.25,14.0,0.0,185.84657534246574,369,75.96536422811658,0.9949771689497717,0.7013610888710968,7.80365296803653,17.12328767123288,17.701149425287355,17.41573033707865,0.3105022831050228,0.20776255707762556,0.4817351598173516,1249,876,1148,11.176377934658145,0.6890243902439024,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,90,0.2,0.25,14.0,0.0,207.84383561643835,395,84.30441459247098,0.9936073059360732,0.6833855799373041,7.776376146788991,15.8256880733945,14.655172413793105,16.516516516516518,0.30045871559633025,0.2408256880733945,0.45871559633027525,1276,872,1187,10.985707528199868,0.6714406065711879,255,128
0.5,2,hard,10.22,LRTF,6,None,98,,0.25,14.0,0.0,94.01095890410959,190,64.474985426194,0.9954337899543378,0.8543151227236738,7.7321594068582025,15.106580166821127,13.017751479289942,16.45299145299145,0.3002780352177943,0.24837812789620017,0.45134383688600554,1263,1079,1159,10.572389371455888,0.8412424503882657,0,0
0.5,2,hard,10.22,SRTF,6,None,99,,0.25,14.0,0.0,50.43287671232877,100,52.868600660901194,0.9931506849315068,0.9278096800656276,7.998231653404067,25.022104332449164,26.622296173044923,23.776223776223777,0.2546419098143236,0.24049513704686118,0.5048629531388152,1219,1131,1118,11.549127073908151,0.9212880143112702,0,0
0.5,2,hard,10.22,NPS_BINNED,6,None,98,0.2,0.25,14.0,0.0,55.1013698630137,111,69.30566094417249,0.9954337899543378,0.9144893111638955,7.874458874458875,20.086580086580085,15.229357798165138,25.343811394891947,0.270995670995671,0.2571428571428571,0.47186147186147187,1263,1155,1159,6.836973153932703,0.909404659188956,252,126
0.5,2,hard,10.22,LRTF,6,None,99,,0.25,14.0,0.0,82.28493150684932,147,65.54416199665016,0.9904109589041096,0.8802296964725185,7.917054986020503,22.08760484622554,21.875,20.95959595959596,0.26095060577819196,0.2572227399813607,0.48182665424044735,1219,1073,1118,14.75994942543339,0.8694096601073346,0,0
0.5,2,hard,10.22,NPS,6,None,97,,0.25,14.0,0.0,62.50684931506849,123,51.356060767156286,0.9826484018264839,0.8982229402261712,7.911870503597123,21.76258992805755,21.42857142857143,20.750551876379692,0.2751798561151079,0.23201438848920863,0.49280575539568344,1238,1112,1153,10.374726963775247,0.8907198612315698,0,0
0.5,2,hard,10.22,FCFS,6,None,100,,0.25,14.0,0.0,97.67123287671232,182,14.744380908345754,0.9949771689497717,0.8724939855653568,7.761029411764706,15.992647058823534,16.799999999999997,14.56582633053221,0.30422794117647056,0.23161764705882354,0.4641544117647059,1247,1088,1141,31.232651304859473,0.8606485539000877,0,0
1.0,4,hard,10.22,FCFS,6,None,2,,0.25,14.0,0.0,11.315068493150685,61,1.5926346719998097,0.904566210045662,0.9926470588235294,7.8312757201646095,20.82304526748971,17.405063291139243,23.076923076923077,0.2814814814814815,0.2288065843621399,0.4897119341563786,1224,1215,1122,4.991478099277255,0.9919786096256684,0,0
1.0,4,hard,10.22,SRTF,6,None,2,,0.25,14.0,0.0,8.235616438356164,47,5.925031519895395,0.8963470319634703,0.9910130718954249,7.933223413025557,22.09398186314922,18.9873417721519,27.139874739039666,0.27699917559769166,0.22506183017312448,0.49793899422918386,1224,1213,1122,4.0456086759061884,0.9901960784313726,0,0
0.5,2,hard,10.22,SRTF,6,None,100,,0.25,14.0,0.0,71.27123287671233,141,64.69860008719161,0.9949771689497717,0.9021651964715317,7.862222222222222,19.55555555555556,22.75132275132275,15.04424778761062,0.2862222222222222,0.232,0.4817777777777778,1247,1125,1141,9.888277751607541,0.8930762489044698,0,0
1.0,4,hard,10.22,LRTF,6,None,2,,0.25,14.0,0.0,16.5972602739726,89,7.536535633359812,0.895890410958904,0.9918300653594772,7.895387149917628,20.59308072487644,19.936708860759495,22.500000000000004,0.2825370675453048,0.22899505766062603,0.48846787479406917,1224,1214,1122,6.565995077059001,0.9910873440285205,0,0
