rho,rho_idx,sampling_mode,discipline,n_agents,sla_hours,replication,avg_queue_length,avg_waiting_time_days,avg_capacity_utilisation,percent_cases_closed,avg_individual_nps,organisation_nps,total_cases_arrived,total_cases_closed,avg_case_resolution_time_days,percent_cases_closed_last_335
0.0,0,hard,FCFS,5,None,100,88.02739726027397,14.611091344833598,0.9873972602739726,0.8187613843351548,7.809788654060067,17.57508342602892,1098,899,31.215718349525485,0.8066083576287658
0.0,0,hard,FCFS,6,None,16,4.2027397260273975,0.6454937115681303,0.8315068493150685,0.9946043165467626,7.8734177215189876,20.1627486437613,1112,1106,3.0262421543346396,0.9942084942084942
0.0,0,hard,FCFS,5,None,96,125.95342465753424,21.12335439581925,0.9873972602739726,0.7495527728085868,7.638424821002387,12.291169451073985,1118,838,43.23649178729462,0.7315436241610739
0.0,0,hard,FCFS,5,None,98,103.8054794520548,17.660847962337414,0.9906849315068493,0.8122710622710623,7.717023675310034,15.783540022547914,1092,887,37.12167512596014,0.7978303747534516
0.0,0,hard,FCFS,6,None,15,5.317808219178082,0.7511720798273943,0.806392694063927,0.9897084048027445,7.881282495667245,21.750433275563264,1166,1154,3.192343358870715,0.988929889298893
0.0,0,hard,FCFS,5,None,94,144.33972602739726,24.82911597417871,0.9939726027397261,0.808231173380035,7.699891657638137,12.784398699891659,1142,923,51.716624336068776,0.7902298850574713
0.0,0,hard,FCFS,6,None,1,93.31232876712329,15.254380788147891,0.9876712328767123,0.8418323249783924,7.7731006160164275,16.427104722792606,1157,974,32.65868917742972,0.8299256505576208
0.0,0,hard,FCFS,5,None,88,198.7013698630137,30.55739221470798,0.9928767123287671,0.6764466177669112,7.86144578313253,19.03614457831325,1227,830,61.146692624627065,0.6508355321020228
0.0,0,hard,FCFS,6,None,18,13.068493150684931,2.0625424580568303,0.9552511415525113,0.9837606837606837,7.981754995655951,25.021720243266728,1170,1151,5.893624676750595,0.9824723247232472
0.0,0,hard,FCFS,5,None,86,220.23561643835617,35.11134074609612,0.9917808219178083,0.6129310344827587,7.646976090014065,12.09563994374121,1160,711,71.277618733384,0.5854108956602031
0.0,0,hard,FCFS,6,None,17,25.528767123287672,4.199629892812717,0.9849315068493151,0.9326923076923077,7.857544517338332,19.587628865979383,1144,1067,10.042409184084368,0.9271523178807947
0.0,0,hard,FCFS,6,None,20,15.712328767123287,2.5505400488258108,0.9310502283105024,0.9895287958115183,7.8994708994708995,21.60493827160494,1146,1134,6.823857204202007,0.9887429643527205
0.0,0,hard,FCFS,6,None,24,10.139726027397261,1.6507832113253593,0.9095890410958904,0.9723502304147466,7.794312796208531,15.924170616113742,1085,1055,5.2621298736811815,0.9695740365111561
0.0,0,hard,FCFS,6,None,14,35.9013698630137,5.671152649428876,0.9849315068493151,0.958368026644463,7.79496090356212,18.418766290182447,1201,1151,12.873177879789454,0.9550763701707098
0.0,0,hard,FCFS,6,None,29,1.3068493150684932,0.19692070041168439,0.7465753424657534,0.9927536231884058,7.953467153284672,23.813868613138684,1104,1096,1.914969950060899,0.9922178988326849
0.0,0,hard,FCFS,6,None,13,57.29041095890411,9.0816621539138,0.9703196347031964,0.9201388888888888,7.845283018867924,19.245283018867926,1152,1060,20.16701515747997,0.9153633854645814
0.0,0,hard,FCFS,6,None,28,8.89041095890411,1.487158969668902,0.9077625570776257,0.9866429207479964,7.859205776173285,21.299638989169672,1123,1108,4.64993688547351,0.9854932301740812
0.0,0,hard,FCFS,6,None,23,26.734246575342464,4.0195676303775745,0.9602739726027397,0.9643744821872411,7.904639175257732,22.079037800687285,1207,1164,9.907575785279294,0.9618794326241135
